	Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	total	MutatedSamples	AlteredSamples
1	AHNAK2	0	0	0	0	5	0	0	0	5	4	4
2	KMT2C	0	0	0	0	5	0	0	0	5	3	3
3	MST1L	0	0	0	0	4	0	0	0	4	3	3
4	MUC17	0	0	0	0	4	0	0	0	4	3	3
5	ANAPC1	0	0	0	0	3	0	0	0	3	3	3
6	HDAC2	2	1	0	0	0	0	0	0	3	3	3
7	PDE4DIP	0	0	0	0	3	0	0	0	3	3	3
8	SSPO	1	0	0	0	2	0	0	0	3	3	3
9	ZIC2	2	0	0	0	1	0	0	0	3	3	3
10	FRG1	0	0	0	0	4	0	0	0	4	2	2
11	ANKRD36C	2	0	0	0	1	0	0	0	3	2	2
12	ATAD3B	0	0	0	0	3	0	0	0	3	2	2
13	BAGE2	0	0	0	0	0	1	0	2	3	2	2
14	ZDHHC11	0	0	0	0	3	0	0	0	3	2	2
15	ABCC5	1	1	0	0	0	0	0	0	2	2	2
16	ACIN1	1	0	0	0	1	0	0	0	2	2	2
17	AFDN	1	0	1	0	0	0	0	0	2	2	2
18	AGXT	0	2	0	0	0	0	0	0	2	2	2
19	ALPP	0	0	1	0	1	0	0	0	2	2	2
20	ASH1L	0	2	0	0	0	0	0	0	2	2	2
21	CFTR	0	0	0	0	2	0	0	0	2	2	2
22	CNOT3	2	0	0	0	0	0	0	0	2	2	2
23	DIAPH2	2	0	0	0	0	0	0	0	2	2	2
24	DLGAP2	0	0	0	0	2	0	0	0	2	2	2
25	EGFR	0	0	1	0	1	0	0	0	2	2	2
26	EVL	0	1	0	0	1	0	0	0	2	2	2
27	FLG	1	0	0	0	1	0	0	0	2	2	2
28	IRX5	0	0	0	0	2	0	0	0	2	2	2
29	LAMA5	0	0	0	0	1	0	0	1	2	2	2
30	MAN2C1	1	0	0	0	1	0	0	0	2	2	2
31	MAPK8IP3	0	0	1	0	1	0	0	0	2	2	2
32	MLLT6	0	0	0	0	2	0	0	0	2	2	2
33	MUC4	0	0	0	0	2	0	0	0	2	2	2
34	MYH13	0	0	0	0	2	0	0	0	2	2	2
35	MYH7	0	0	0	0	1	0	0	1	2	2	2
36	MYT1L	0	0	0	0	2	0	0	0	2	2	2
37	NF1	0	0	0	0	1	1	0	0	2	2	2
38	NRXN2	0	2	0	0	0	0	0	0	2	2	2
39	PCMTD1	0	0	0	0	2	0	0	0	2	2	2
40	PRRT2	1	0	0	0	1	0	0	0	2	2	2
41	RHPN2	0	0	0	0	1	1	0	0	2	2	2
42	RTP1	0	0	0	0	2	0	0	0	2	2	2
43	SMARCC2	2	0	0	0	0	0	0	0	2	2	2
44	STAT5B	2	0	0	0	0	0	0	0	2	2	2
45	TCERG1	0	0	0	0	2	0	0	0	2	2	2
46	TENM4	0	0	1	0	1	0	0	0	2	2	2
47	TNFRSF18	0	0	0	0	2	0	0	0	2	2	2
48	WBP1	0	2	0	0	0	0	0	0	2	2	2
49	WDR90	2	0	0	0	0	0	0	0	2	2	2
50	ZNF727	0	0	0	0	2	0	0	0	2	2	2
51	APOBEC3H	0	0	1	0	1	0	0	0	2	1	1
52	BICRA	0	0	0	0	2	0	0	0	2	1	1
53	ELFN2	0	0	0	0	2	0	0	0	2	1	1
54	FBN2	0	0	0	0	2	0	0	0	2	1	1
55	GUSB	0	0	0	0	2	0	0	0	2	1	1
56	HEATR5B	0	0	0	0	2	0	0	0	2	1	1
57	LAMB4	0	0	0	0	1	0	0	1	2	1	1
58	LRP1	0	0	0	0	2	0	0	0	2	1	1
59	NOS2	0	0	0	0	1	0	0	1	2	1	1
60	OR10H1	0	0	0	0	2	0	0	0	2	1	1
61	RBMX	0	1	0	0	1	0	0	0	2	1	1
62	RCOR2	0	0	0	0	2	0	0	0	2	1	1
63	RNF212	1	0	0	1	0	0	0	0	2	1	1
64	SYNDIG1L	0	0	0	0	2	0	0	0	2	1	1
65	AASDH	1	0	0	0	0	0	0	0	1	1	1
66	AATK	0	0	0	0	0	0	1	0	1	1	1
67	ABCA12	0	0	0	0	1	0	0	0	1	1	1
68	ABCB1	0	0	0	0	1	0	0	0	1	1	1
69	ABCB5	0	0	0	0	1	0	0	0	1	1	1
70	ABHD17A	0	0	0	0	1	0	0	0	1	1	1
71	ABL2	0	0	0	0	0	1	0	0	1	1	1
72	ABLIM3	0	0	0	0	1	0	0	0	1	1	1
73	ABR	0	0	0	0	1	0	0	0	1	1	1
74	ACADSB	0	0	0	0	1	0	0	0	1	1	1
75	ACOT9	0	0	0	0	1	0	0	0	1	1	1
76	ACPP	0	0	0	0	1	0	0	0	1	1	1
77	ACSL6	0	0	0	0	1	0	0	0	1	1	1
78	ACTG2	0	0	0	0	1	0	0	0	1	1	1
79	ACTN2	1	0	0	0	0	0	0	0	1	1	1
80	ADAL	0	0	0	0	1	0	0	0	1	1	1
81	ADAMTS16	0	0	0	0	1	0	0	0	1	1	1
82	ADAMTS6	0	0	0	0	1	0	0	0	1	1	1
83	ADAMTSL2	0	0	0	0	1	0	0	0	1	1	1
84	ADAMTSL4	0	0	0	0	1	0	0	0	1	1	1
85	ADGRG2	0	0	0	0	1	0	0	0	1	1	1
86	ADGRG7	0	0	0	0	0	1	0	0	1	1	1
87	ADGRV1	0	0	0	0	0	1	0	0	1	1	1
88	ADNP2	0	1	0	0	0	0	0	0	1	1	1
89	ADRA2B	0	0	0	0	1	0	0	0	1	1	1
90	ADSSL1	0	0	0	0	1	0	0	0	1	1	1
91	AGAP2	0	0	0	0	1	0	0	0	1	1	1
92	AGO4	0	0	0	0	1	0	0	0	1	1	1
93	AHNAK	0	0	0	0	1	0	0	0	1	1	1
94	AHRR	0	0	0	0	1	0	0	0	1	1	1
95	AIP	0	0	0	0	1	0	0	0	1	1	1
96	ALOX5	0	0	0	0	1	0	0	0	1	1	1
97	AMMECR1	0	0	1	0	0	0	0	0	1	1	1
98	AMOT	0	0	1	0	0	0	0	0	1	1	1
99	AMY2B	0	0	0	0	1	0	0	0	1	1	1
100	ANKRD17	0	0	0	0	1	0	0	0	1	1	1
101	ANKRD30A	0	0	0	0	1	0	0	0	1	1	1
102	ANKRD53	0	0	0	0	1	0	0	0	1	1	1
103	ANO10	1	0	0	0	0	0	0	0	1	1	1
104	ANTXR2	1	0	0	0	0	0	0	0	1	1	1
105	APC	0	0	0	0	1	0	0	0	1	1	1
106	APOA2	0	0	0	0	1	0	0	0	1	1	1
107	APOC1	0	0	0	0	1	0	0	0	1	1	1
108	AQP10	0	0	0	0	1	0	0	0	1	1	1
109	ARF3	0	0	0	0	1	0	0	0	1	1	1
110	ARHGAP22	0	0	0	0	1	0	0	0	1	1	1
111	ARHGAP25	0	0	0	0	1	0	0	0	1	1	1
112	ARHGEF11	0	0	0	0	0	1	0	0	1	1	1
113	ARHGEF3	0	0	0	0	1	0	0	0	1	1	1
114	ARHGEF40	0	0	0	0	1	0	0	0	1	1	1
