X1	X001A_Normal.Tumor1	X001A_Normal.Tumor2	X001B_Normal.Tumor1	X001B_Normal.Tumor2	X001C_Normal.Tumor1	X001C_Normal.Tumor2	X001E_Normal.Tumor1	X001E_Normal.Tumor2	X001F_Normal.Tumor1	X001F_Normal.Tumor2	X001G_Normal.Tumor1	X001G_Normal.Tumor2	X001H_Normal.Tumor1	X001H_Normal.Tumor2	X001I_Normal.Tumor1	X001I_Normal.Tumor2	X001J_Normal.Tumor1	X001J_Normal.Tumor2	X001K_Normal.Tumor1	X001K_Normal.Tumor2	X001L_Normal.Tumor1	X001L_Normal.Tumor2	X001M_Normal.Tumor1	X001M_Normal.Tumor2	X001O_Normal.Tumor1	X001O_Normal.Tumor2	Sum1	Sum2	Gene	BLCA.Freq	BRCA.Freq	COADREAD.Freq	GBM.Freq	HNSC.Freq	KIRC.Freq	LAML.Freq	LUAD.Freq	LUSC.Freq	OV.Freq	UCEC.Freq	Pancan12.Freq	pancan12.p.val	pancan12.FDR
43	EGFR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	0	0	6	6	EGFR	0.01	0.007	0.016	0.266	0.047	0.017	0.01	0.114	0.029	0.019	0.013	0.046	0	0
55	NF1	0	0	2	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	6	5	NF1	0.071	0.025	0.01	0.11	0.027	0.017	0.01	0.118	0.103	0.038	0.035	0.044	0	0
98	USP9X	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	5	5	USP9X	0.031	0.012	0	0.007	0.043	0.01	0.005	0.053	0.046	0.003	0.065	0.021	9.189e-09	2.922e-07
163	MALAT1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4	4	MALAT1	0.153	0.011	0	0	0.063	0.019	0	0.097	0.058	0.01	0	0.027	0	0
254	BRCA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	2	BRCA2	0.061	0.017	0.016	0.014	0.037	0.019	0	0.057	0.058	0.032	0.044	0.027	9.476e-09	3.002e-07
271	CDKN2A	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	3	3	CDKN2A	0.041	0	0.005	0.007	0.213	0.01	0	0.066	0.149	0	0.004	0.036	0	0
301	DNMT3A	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3	2	DNMT3A	0	0.005	0.01	0	0.017	0.012	0.255	0.04	0.04	0.01	0.013	0.028	0	0
343	KDM6A	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	KDM6A	0.265	0.011	0	0.01	0.027	0.01	0.015	0.009	0.04	0	0.009	0.02	4.716e-19	4.495e-17
347	KRAS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	3	3	KRAS	0	0.008	0.451	0.007	0.003	0.002	0.04	0.263	0.012	0.006	0.2	0.067	0	0
545	APC	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	APC	0.041	0.005	0.819	0.003	0.04	0.014	0	0.092	0.04	0.022	0.057	0.073	0	0
